ID,Layer,Class,Raw_material,Cortex,Core_type,Laminar_y_n,Carinated_y_n,Core_classification,Core_classification_2,Core_blank,Platf_nr,Blank_production,Bipolar_core,Strik_plat,Strik_plat_2,Flaking_surface,Reduction_pattern,Typology_new,Volume,Area,Length,Width,Thickness,angle_1,angle_2,angle_3,mean_angle,flak_surf_length,flak_surf_length_2,last_rem_blank,length_last_rem,width_last_rem,Ratio_fsl_thick,Ratio_fsl_width,Ratio_l_t,Ratio_l_w,Ratio_w_t,X3D_model
CTC_1010,gic,Core-Tool,Fine-grained chert,33-66%,Initial carinated,TRUE,TRUE,Initial carinated,Initial,Flake,1,Flake,FALSE,Reshaped,NA,Unidirectional,Convergent,Endscraper carinated,12236.49,3452.59,25,36.70000076,44.79999924,75,77,56,69.33333333,16.29999924,NA,Flake,7.5,8.5,0.363839275,0.444141659,0.558035724,0.681198896,0.81919646,TRUE
CTC_1015,gic,Core-Tool,Fine-grained chert,0%,Initial carinated,TRUE,TRUE,Initial carinated,Initial,Flake,1,Undetermined,FALSE,Natural/Unprepared,NA,Unidirectional,Sub-parallel,Endscraper carinated,4320.74,1775.08,19.39999962,30.70000076,22.89999962,86,81,77,81.33333333,19.29999924,NA,Undetermined,NA,NA,0.842794741,0.628664455,0.84716157,0.631921796,1.340611409,TRUE
CTC_1018,gic,Core-Tool,Fine-grained chert,33-66%,Platform laminar + carinated,TRUE,TRUE,Multi-platform carinated,Multi-platform,Flake,2,Bladelet,FALSE,Natural/Unprepared,NA,Unidirectional,Sub-parallel,Composite tool,7055.39,2593.5,19.20000076,37.29999924,29.5,82,83,91,85.33333333,14,NA,Bladelet,12.4,4.9,0.474576271,0.375335128,0.650847483,0.514745339,1.264406754,TRUE
CTC_1019,gic,Core,Fine-grained chert,0%,Bipolar,FALSE,FALSE,Bipolar,NA,Undetermined,2,Flake,TRUE,Plain,Diedro,NA,NA,NA,1251.71,973.87,35,14.39999962,7.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4.666666667,2.43055562,1.919999949,TRUE
CTC_1023,gic,Core-Tool,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Burin core,Burin core,Flake,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,Burin multiple,2208.69,1144.72,33.40000153,12.10000038,16.20000076,83,92,99,91.33333333,31.70000076,NA,Bladelet,11.1,3.8,1.956790078,2.619834691,2.061728392,2.760330618,0.746913569,TRUE
CTC_1024,gic,Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Flake,1,Bladelet,FALSE,Plain,NA,Unidirectional,Convergent,NA,2091.12,1173.2,26.39999962,25.5,12.30000019,77,83,81,80.33333333,18,NA,Bladelet,12.19999981,3.900000095,1.463414611,0.705882353,2.146341399,1.035294103,2.0731707,TRUE
CTC_1026,gic,Core-Tool,Radiolarite,0%,Shatter carinated,TRUE,TRUE,Carinated,Shatter,Flake,1,Bladelet,FALSE,Plain,NA,Unidirectional,Convergent,Rabot,2348.56,1305.23,13.60000038,23.10000038,28.79999924,72,73,82,75.66666667,12.39999962,NA,Bladelet,9.800000191,4.099999905,0.430555554,0.536796511,0.472222248,0.588744596,0.802083368,TRUE
CTC_1088,gic,Core-Tool,Fine-grained chert,0%,Carinated,TRUE,TRUE,Carinated,Carinated,Flake,1,Bladelet,FALSE,Natural/Unprepared,NA,Unidirectional,Sub-parallel,Endscraper carinated,5577.26,2133.8,15.10000038,31,31.5,53,64,59,58.66666667,14.89999962,NA,Bladelet,13.3,4.7,0.473015861,0.480645149,0.479365091,0.487096786,0.984126984,TRUE
CTC_1127,gic,Core-Tool,Fine-grained chert,0%,Carinated,TRUE,TRUE,Carinated,Carinated,Flake,1,Bladelet,FALSE,Natural/Unprepared,NA,Unidirectional,Convergent,Endscraper carinated,2225.12,1174.82,13,25.89999962,20.39999962,78,79,76,77.66666667,12.69999981,NA,Bladelet,9.6,5.9,0.622549022,0.49034749,0.637254914,0.501930509,1.269607848,TRUE
CTC_1287,gic,Core,Fine-grained chert,66-99%,Initial laminar,TRUE,FALSE,Initial semi-circumferential,Initial,Pebble,1,Blade-Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,NA,128446.61,15070.97,55.79999924,66.40000153,57.5,91,68,91,83.33333333,54.20000076,NA,Undetermined,NA,NA,0.942608709,0.816265053,0.970434769,0.840361415,1.154782635,TRUE
CTC_1288,gic,Core,Fine-grained chert,66-99%,Initial laminar,TRUE,FALSE,Initial narrow-sided,Initial,Pebble,1,Blade-Bladelet,FALSE,Natural/Unprepared,NA,Unidirectional,Sub-parallel,NA,25008.38,5497.41,48.40000153,29,41,69,69,76,71.33333333,34.4,NA,Blade,30,12.8,0.83902439,1.186206897,1.180487842,1.66896557,0.707317073,TRUE
CTC_1294,gic,Core,Fine-grained chert,66-99%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Flake,3,Flake,FALSE,NA,NA,NA,NA,NA,24489.12,6270.59,56.29999924,40.40000153,20,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.814999962,1.393564285,2.020000076,TRUE
CTC_1295,gic,Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Narrow-sided,Narrow-sided,Flake,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,4123.1,1684.6,35.29999924,19.10000038,21.39999962,69,58,56,61,23.20000076,NA,Bladelet,22.70000076,4.900000095,1.084112205,1.214659702,1.649532704,1.848167462,0.892523398,TRUE
CTC_1304,gic,Core-Tool,Fine-grained chert,0%,Carinated,TRUE,TRUE,Carinated,Carinated,Flake,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Convergent,Endscraper carinated,2877.34,1352.95,14.60000038,21.70000076,17.20000076,76,84,85,81.66666667,12,NA,Bladelet,10,3.299999952,0.697674388,0.552995372,0.848837194,0.672811054,1.261627895,TRUE
CTC_1314,gic,Core,Fine-grained chert,0%,Shatter,FALSE,FALSE,Multidirectional,NA,Angular debris,1,Undetermined,FALSE,Plain,NA,Unidirectional,Sub-parallel,NA,15671.08,4156.48,25.10000038,32.40000153,32.59999847,NA,NA,NA,0,24.20000076,NA,Undetermined,NA,NA,0.742331346,0.746913569,0.769938698,0.774691333,0.993865124,TRUE
CTC_1328,gic,Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Block,1,Blade,FALSE,Reshaped,NA,Unidirectional,Convergent,NA,15743.11,4297.26,52.70000076,37.5,25.5,79,85,80,81.33333333,44.40000153,NA,Flake,25.20000076,13.9,1.74117653,1.184000041,2.066666697,1.405333354,1.470588235,TRUE
CTC_1329,gic,Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Wide-faced flat,Wide-faced flat,Undetermined,2,Bladelet,FALSE,Plain,Plain,Bidirectional,Sub-parallel,NA,4779.1,1874.18,29.89999962,32.09999847,15.19999981,66,75,59,66.66666667,29.79999924,NA,Bladelet,27.4,6.8,1.96052629,0.92834893,1.967105263,0.931464207,2.111842031,TRUE
CTC_1331,ars,Core-Tool,Fine-grained chert,0%,Initial carinated,TRUE,TRUE,Initial carinated,Initial,Flake,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,Endscraper carinated,3317.91,1521.28,11.8,34.2,19.6,80,53,71,68,11.7,NA,Bladelet,7,5.8,0.596938776,0.342105263,0.602040816,0.34502924,1.744897959,TRUE
CTC_1332,ars,Core,Fine-grained chert,1-33%,Platform flake,FALSE,FALSE,Semi-circumferential,NA,Pebble,1,Flake,FALSE,Natural/Unprepared,NA,Unidirectional,Sub-parallel,NA,7946.59,2766.38,38.09999847,33.20000076,30,70,57,64,63.66666667,34.09999847,NA,Flake,27.70000076,18.29999924,1.136666616,1.027108364,1.269999949,1.147590289,1.106666692,TRUE
CTC_1333,rsa',Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Wide-faced flat,Wide-faced flat,Block,1,Blade-Bladelet,FALSE,Reshaped,NA,Bidirectional,Sub-parallel,NA,20186,5132.35,53.2,38.5,20,74,88,66,76,54.20000076,NA,Bladelet,26.1,7.8,2.710000038,1.407792228,2.66,1.381818182,1.925,TRUE
CTC_1340,gic,Core,Fine-grained chert,0%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Flake,1,Flake,FALSE,Natural/Unprepared,NA,NA,NA,NA,2853.35,1638.09,21.5,28.89999962,12.39999962,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1.733871021,0.743944646,2.330645202,TRUE
CTC_1348,ars,Core,Fine-grained chert,0%,Initial laminar,TRUE,FALSE,Initial semi-circumferential,Initial,Block,1,Flake,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,63088.27,10315.97,59.59999847,47,63.40000153,54,85,70,69.66666667,37.7,NA,Flake,35.6,18.9,0.59463721,0.80212766,0.940063045,1.268085074,0.741324903,TRUE
CTC_1349,gic,Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Undetermined,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Convergent,NA,5149.59,1760.02,26.60000038,23.79999924,23.5,88,51,75,71.33333333,26.9,NA,Bladelet,25.79999924,8.199999809,1.144680851,1.130252137,1.13191491,1.117647111,1.012765925,TRUE
CTC_1350,rsa',Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Wide-faced flat,Wide-faced flat,Flake,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,NA,3157.33,1404.02,30.20000076,20.5,13.19999981,67,62,59,62.66666667,26.60000038,NA,Bladelet,24.10000038,6.300000191,2.015151573,1.297560994,2.287878879,1.473170769,1.553030325,TRUE
CTC_1351,gic,Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Narrow-sided,Narrow-sided,Undetermined,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,5818.26,2149.23,31.29999924,14.80000019,36,65,69,67,67,20.5,NA,Bladelet,15.2,6,0.569444444,1.385135117,0.869444423,2.114864786,0.411111116,TRUE
CTC_1352,ars,Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Multi-platform,Multi-platform,Undetermined,2,Bladelet,FALSE,Reshaped,Reshaped,Unidirectional,Sub-parallel,NA,9138.97,2669,36.59999847,32.70000076,18.10000038,69,67,78,71.33333333,36.79999924,31.10000038,Bladelet,32,6.9,2.033149086,1.125382213,2.022099321,1.119265982,1.806629838,TRUE
CTC_1353,gic,Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Flake,1,Blade-Bladelet,FALSE,Reshaped,NA,Unidirectional,Convergent,NA,7768.37,2796.68,37.09999847,20.79999924,47,52,64,72,62.66666667,28.79999924,NA,Blade,24.39999962,12.1,0.612765941,1.384615399,0.78936167,1.783653838,0.442553175,TRUE
CTC_1354,gic,Core-Tool,Fine-grained chert,33-66%,Initial carinated,TRUE,TRUE,Initial carinated,Initial,Angular debris,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,Rabot,7098.5,2403.17,23.3,24.7,36,61,53,51,55,22.79999924,NA,Bladelet,19.89999962,7.199999809,0.633333312,0.923076892,0.647222222,0.943319838,0.686111111,TRUE
CTC_1355,gic,Core,Fine-grained chert,0%,Platform flake,FALSE,FALSE,Semi-circumferential,NA,Angular debris,1,Flake,FALSE,Natural/Unprepared,NA,Unidirectional,Sub-parallel,NA,5976.12,2153.42,21.20000076,34,23.5,NA,NA,NA,0,NA,NA,Flake,NA,NA,NA,NA,0.902127692,0.623529434,1.446808511,TRUE
CTC_1356,gic,Core,Fine-grained chert,1-33%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Flake,1,Flake,FALSE,Reshaped,NA,NA,NA,NA,10413.47,3381.06,34.20000076,44.20000076,19.60000038,NA,NA,NA,0,NA,NA,Flake,NA,NA,NA,NA,1.744897964,0.77375566,2.255102036,TRUE
CTC_1357,gic,Core,Radiolarite,66-99%,Initial laminar,TRUE,FALSE,Initial semi-circumferential,Initial,Pebble,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,NA,10715.5,3159.78,28.79999924,25.70000076,35.70000076,54,70,73,65.66666667,30.10000038,NA,Flake,NA,NA,0.843137248,1.171206206,0.80672265,1.120622505,0.719887961,TRUE
CTC_1358,gic,Core,Fine-grained chert,33-66%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Undetermined,1,Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,NA,11451.77,3593.41,37,31.79999924,19,49,43,51,47.66666667,26.6,NA,Flake,NA,NA,1.4,0.836478007,1.947368421,1.16352204,1.67368417,TRUE
CTC_1359,gic,Core,Fine-grained chert,0%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Block,3,Flake,FALSE,NA,NA,NA,NA,NA,28326.06,5999.51,49.59999847,35.09999847,35.59999847,NA,NA,NA,0,NA,NA,Flake,NA,NA,NA,NA,1.393258444,1.413105431,0.985955056,TRUE
CTC_1360,gic,Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Semi-circumferential,Semi-circumferential,Block,1,Blade,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,28014.31,5982.8,60,43.20000076,26.5,62,65,63,63.33333333,58.59999847,NA,Blade,44.79999924,14,2.211320697,1.356481422,2.264150943,1.388888864,1.630188708,TRUE
CTC_1361,gic,Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Multi-platform,Multi-platform,Undetermined,2,Bladelet,FALSE,Plain,Reshaped,Unidirectional,Sub-parallel,NA,10332.51,2958.68,30.20000076,32.29999924,23.20000076,62,66,79,69,29.79999924,19.89999962,Bladelet,18.4,6.1,1.284482683,0.922600617,1.301724128,0.934984566,1.392241301,TRUE
CTC_1362,gic,Core,Fine-grained chert,1-33%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Undetermined,3,Flake,FALSE,NA,NA,NA,NA,NA,5467.52,2185.85,35.59999847,26.10000038,16.70000076,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.131736338,1.363984596,1.562874203,TRUE
CTC_1363,gic,Core,Coarse-grained chert,0%,Platform laminar,TRUE,FALSE,Multi-platform,Multi-platform,Undetermined,2,Bladelet,FALSE,Plain,Plain,Unidirectional,Convergent;Sub-parallel,NA,5909.45,1994.89,29.39999962,27.39999962,17.5,67,88,67,74,26,24.89999962,Bladelet,24.60000038,6.800000191,1.485714286,0.948905123,1.679999978,1.072992702,1.565714264,TRUE
CTC_1364,gic,Core,Fine-grained chert,0%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Undetermined,3,Flake,FALSE,NA,NA,NA,NA,NA,4432.62,1735.1,24.20000076,17.20000076,32,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.756250024,1.406976726,0.537500024,TRUE
CTC_1365,gic,Core,Fine-grained chert,1-33%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Pebble,2,Flake,FALSE,NA,NA,NA,NA,NA,4461.63,1795.01,28.5,22.5,19.70000076,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,1.446700452,1.266666667,1.142131935,TRUE
CTC_1366,gic,Core,Fine-grained chert,33-66%,Platform flake,FALSE,FALSE,Semi-circumferential,NA,Block,2,Flake,FALSE,Natural/Unprepared,Plain,Bidirectional,Sub-parallel,NA,15125.47,3794.19,29.89999962,42.40000153,29.39999962,NA,NA,NA,0,NA,NA,Flake,NA,NA,NA,NA,1.017006803,0.705188645,1.442176941,TRUE
CTC_1367,gic,Core,Fine-grained chert,66-99%,Initial laminar,TRUE,FALSE,Initial narrow-sided,Initial,Block,1,Undetermined,FALSE,Undetermined,NA,Crossed,Sub-parallel,NA,55068.09,9088.91,67.80000305,31,56.90000153,73,72,67,70.66666667,45.9,NA,Undetermined,NA,NA,0.806678361,1.480645161,1.191564169,2.187096873,0.544815451,TRUE
CTC_1369,gic,Core,Fine-grained chert,1-33%,Shatter,FALSE,FALSE,Undetermined,NA,Undetermined,NA,Flake,FALSE,NA,NA,NA,NA,NA,32098.89,7156.54,65,40,30.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.131147541,1.625,1.31147541,TRUE
CTC_1374,gic,Core,Fine-grained chert,1-33%,Shatter,FALSE,FALSE,Semi-circumferential,NA,Pebble,1,Undetermined,FALSE,Plain,NA,Unidirectional,Convergent,NA,12027.87,3469.67,38.29999924,36.40000153,40.29999924,57,80,72,69.66666667,31.39999962,NA,Flake,NA,NA,0.779156333,0.862637316,0.950372207,1.052197737,0.903225861,TRUE
CTC_1503,gic,Core-Tool,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Burin core,Burin core,Blade,1,Bladelet,FALSE,Plain,NA,Unidirectional,Sub-parallel,Burin multiple,2399.14,1514.26,42.70000076,17.29999924,10.69999981,72,72,81,75,25,NA,Bladelet,9,5.4,2.33644864,1.445086769,3.990654348,2.468208245,1.616822387,TRUE
CTC_1508,gic,Core-Tool,Fine-grained chert,1-33%,Carinated,TRUE,TRUE,Carinated,Carinated,Flake,1,Bladelet,FALSE,Natural/Unprepared,NA,Unidirectional,Sub-parallel,Rabot,2901.81,1256.88,12.1,26.5,19.2,80,88,88,85.33333333,14.5,NA,Bladelet,10.60000038,4.800000191,0.755208333,0.547169811,0.630208333,0.456603774,1.380208333,TRUE
CTC_1512,rsa',Core,Quartzite,33-66%,Shatter,FALSE,FALSE,Multidirectional,Burin core,Undetermined,NA,Undetermined,FALSE,NA,NA,NA,NA,NA,6126.98,2067.87,30,25.29999924,24,NA,NA,NA,0,NA,NA,Undetermined,NA,NA,NA,NA,1.25,1.185770787,1.054166635,TRUE
CTC_1513,gic,Core,Fine-grained chert,1-33%,Multidirectional,FALSE,FALSE,Multidirectional,Burin core,Flake,1,Flake,FALSE,Natural/Unprepared,NA,NA,Sub-parallel,NA,8404.46,3002.84,14.5,39.5,29.70000076,NA,NA,NA,0,NA,NA,Flake,NA,NA,NA,NA,0.488215476,0.367088608,1.329966296,TRUE
CTC_1515,gic,Core,Fine-grained chert,0%,Bipolar,FALSE,FALSE,Bipolar,Burin core,Undetermined,2,Flake,TRUE,Diedro,Diedro,NA,NA,NA,3863.88,1750.5,35.29999924,17.20000076,17.10000038,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.064327395,2.052325446,1.005847975,TRUE
CTC_1660,ars,Core,Fine-grained chert,0%,Bipolar,FALSE,FALSE,Bipolar,NA,Undetermined,2,Flake,TRUE,NA,NA,NA,NA,NA,2838.38,1459.52,32,19,15,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.133333333,1.684210526,1.266666667,TRUE
CTC_1871,gic,Core-Tool,Fine-grained chert,0%,Carinated,TRUE,TRUE,Carinated,Carinated,Flake,1,Bladelet,FALSE,Plain,NA,Unidirectional,Convergent,Endscraper carinated,2880.27,1372.67,19,26,25.5,64,74,65,67.66666667,18.5,NA,Bladelet,17.4,6.5,0.725490196,0.711538462,0.745098039,0.730769231,1.019607843,TRUE
CTC_1889,gic,Core,Fine-grained chert,33-66%,Shatter,FALSE,FALSE,Undetermined,NA,Flake,1,Flake,FALSE,Plain,NA,Unidirectional,Sub-parallel,NA,11902.92,3787.47,27.89999962,25.60000038,45.90000153,NA,NA,NA,0,26,NA,NA,NA,NA,0.566448783,1.015624985,0.607843109,1.089843719,0.557734195,TRUE
CTC_1950,rsa',Core-Tool,Radiolarite,0%,Carinated,TRUE,TRUE,Multi-platform carinated,Multi-platform,Block,1,Bladelet,FALSE,Plain,Reshaped,Unidirectional,Convergent,Rabot,20888.17,4805.9,32,37.90000153,51.59999847,75,72,85,77.33333333,27.20000076,24.29999924,Flake,9.3,11.9,0.527131813,0.717678091,0.620155057,0.844327143,0.734496175,TRUE
CTC_1965,rsa',Core,Fine-grained chert,0%,Multidirectional,FALSE,FALSE,Multidirectional,NA,Undetermined,3,Flake,FALSE,Plain,NA,NA,NA,NA,19019.43,4480.21,36.40000153,37.20000076,28.20000076,NA,NA,NA,0,26.39999962,NA,NA,NA,NA,0.936170174,0.709677395,1.290780161,0.978494645,1.319148928,TRUE
CTC_1966,rsa',Core,Fine-grained chert,0%,Platform laminar,TRUE,FALSE,Wide-faced flat,Wide-faced flat,Blade,1,Bladelet,FALSE,Reshaped,NA,Unidirectional,Sub-parallel,NA,12609.99,3474.1,28.89999962,45.70000076,19.70000076,73,55,63,63.66666667,29.10000038,NA,Bladelet,22.7,9.5,1.477157323,0.636761486,1.467005,0.632385101,2.319796903,TRUE
CTC_1967,rsa',Core,Fine-grained chert,1-33%,Platform laminar,TRUE,FALSE,Multi-platform,Multi-platform,Block,2,Bladelet,FALSE,Plain,Reshaped,Unidirectional,Sub-parallel,NA,4383.73,1719.23,29.20000076,25.5,13.80000019,70,73,83,75.33333333,27.79999924,26.10000038,Bladelet,25,6.8,2.01449267,1.090196049,2.115942055,1.145098069,1.847826061,TRUE
